tab 	magic_measurements
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_temp
This study	unknown	Z79.1	Z79	Z79.1a	Z79.1a:LP-DIR-T	hargrave 2015-10-02 09:10:52	LT-NO:LP-DIR-T	pmagpy-3.4.0	1.0	339.3		g	-42.3	1.29e-05	1	1	4.24e-09	2.43e-09	3.77e-09	u	273	0	0	273
This study	unknown	Z79.1	Z79	Z79.1a	Z79.1a:LP-DIR-T	hargrave 2015-10-08 17:01:57	LT-LT-Z:LP-DIR-T	pmagpy-3.4.0	1.4	337.7		g	-42.5	1.29e-05	2	1	1.33e-09	7.57e-09	3.26e-09	u	273	0	0	77
This study	unknown	Z79.1	Z79	Z79.1a	Z79.1a:LP-DIR-T	hargrave 2015-10-21 13:41:03	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.7	338.8		g	-41.6	1.29e-05	3	1	9.12e-09	6.78e-09	1.15e-08	u	273	0	0	348.0
This study	unknown	Z79.1	Z79	Z79.1a	Z79.1a:LP-DIR-T	hargrave 2015-10-28 16:43:59	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.7	338.2		g	-41.7	1.29e-05	4	1	1.19e-08	4.32e-09	9.80e-09	u	273	0	0	373.0
This study	unknown	Z79.1	Z79	Z79.1a	Z79.1a:LP-DIR-T	hargrave 2015-11-04 18:27:16	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.8	338.2		g	-42.3	1.29e-05	5	1	3.32e-09	3.55e-09	1.26e-09	u	273	0	0	423.0
This study	unknown	Z79.1	Z79	Z79.1a	Z79.1a:LP-DIR-T	hargrave 2015-11-18 17:09:32	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.5	338.9		g	-42.3	1.29e-05	6	1	1.65e-09	2.23e-09	1.85e-09	u	273	0	0	473.0
This study	unknown	Z79.1	Z79	Z79.1a	Z79.1a:LP-DIR-T	hargrave 2015-12-16 11:27:46	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.9	338.5		g	-42.2	1.29e-05	7	1	3.04e-09	3.37e-09	3.06e-09	u	273	0	0	523.0
This study	unknown	Z79.1	Z79	Z79.1a	Z79.1a:LP-DIR-T	hargrave 2015-12-20 09:32:37	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.0	339.6		g	-42.2	1.29e-05	8	1	3.75e-09	3.43e-09	3.29e-09	u	273	0	0	573.0
This study	unknown	Z79.1	Z79	Z79.1a	Z79.1a:LP-DIR-T	hargrave 2016-01-04 12:14:21	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.2	338.6		g	-42.2	1.28e-05	9	1	2.26e-09	5.74e-09	3.37e-09	u	273	0	0	623.0
This study	unknown	Z79.1	Z79	Z79.1a	Z79.1a:LP-DIR-T	hargrave 2016-01-06 13:23:42	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.9	338.8		g	-42.2	1.26e-05	10	1	3.27e-09	3.06e-09	3.04e-09	u	273	0	0	673.0
