tab 	magic_measurements
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_temp
This study	unknown	Z81.1	Z81	Z81.1a	Z81.1a:LP-DIR-T	hargrave 2015-10-02 09:39:22	LT-NO:LP-DIR-T	pmagpy-3.4.0	3.0	025.0		g	-43.4	1.51e-05	1	1	6.22e-09	2.00e-08	5.72e-09	u	273	0	0	273
This study	unknown	Z81.1	Z81	Z81.1a	Z81.1a:LP-DIR-T	hargrave 2015-10-08 17:30:50	LT-LT-Z:LP-DIR-T	pmagpy-3.4.0	4.8	031.1		g	-43.7	1.53e-05	2	1	1.22e-08	3.20e-08	5.15e-09	u	273	0	0	77
This study	unknown	Z81.1	Z81	Z81.1a	Z81.1a:LP-DIR-T	hargrave 2015-10-21 14:08:35	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	5.8	025.5		g	-44.6	1.54e-05	3	1	2.10e-08	3.20e-08	1.58e-08	u	273	0	0	348.0
This study	unknown	Z81.1	Z81	Z81.1a	Z81.1a:LP-DIR-T	hargrave 2015-10-28 17:10:44	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	3.2	024.6		g	-44.3	1.55e-05	4	1	1.23e-08	1.45e-08	1.41e-08	u	273	0	0	373.0
This study	unknown	Z81.1	Z81	Z81.1a	Z81.1a:LP-DIR-T	hargrave 2015-11-04 18:55:34	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.4	023.8		g	-44.0	1.55e-05	5	1	7.71e-09	5.00e-09	5.91e-09	u	273	0	0	423.0
This study	unknown	Z81.1	Z81	Z81.1a	Z81.1a:LP-DIR-T	hargrave 2015-11-18 17:39:25	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.0	025.7		g	-43.8	1.56e-05	6	1	1.94e-09	1.50e-08	3.77e-09	u	273	0	0	473.0
This study	unknown	Z81.1	Z81	Z81.1a	Z81.1a:LP-DIR-T	hargrave 2015-12-16 11:56:19	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.5	026.6		g	-44.0	1.55e-05	7	1	4.54e-09	1.75e-08	3.82e-09	u	273	0	0	523.0
This study	unknown	Z81.1	Z81	Z81.1a	Z81.1a:LP-DIR-T	hargrave 2015-12-20 10:02:22	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	3.1	027.4		g	-43.8	1.55e-05	8	1	6.90e-09	2.16e-08	6.23e-09	u	273	0	0	573.0
This study	unknown	Z81.1	Z81	Z81.1a	Z81.1a:LP-DIR-T	hargrave 2016-01-04 12:43:05	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	6.4	024.8		g	-43.9	1.53e-05	9	1	1.43e-08	4.32e-08	5.80e-09	u	273	0	0	623.0
This study	unknown	Z81.1	Z81	Z81.1a	Z81.1a:LP-DIR-T	hargrave 2016-01-06 13:49:10	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	3.1	026.1		g	-43.6	1.52e-05	10	1	4.26e-09	2.21e-08	4.68e-09	u	273	0	0	673.0
This study	unknown	Z81.1	Z81	Z81.1a	Z81.1a:LP-DIR-T	hargrave 2016-01-08 13:07:44	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.2	024.6		g	-43.7	1.51e-05	11	1	2.44e-09	1.54e-08	3.27e-09	u	273	0	0	698.0
This study	unknown	Z81.1	Z81	Z81.1a	Z81.1a:LP-DIR-T	hargrave 2016-01-14 10:37:49	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.2	024.6		g	-43.6	1.50e-05	12	1	2.34e-09	1.57e-08	3.68e-09	u	273	0	0	723.0
This study	unknown	Z81.1	Z81	Z81.1a	Z81.1a:LP-DIR-T	hargrave 2016-01-21 13:16:14	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	4.3	026.5		g	-43.7	1.48e-05	13	1	8.14e-09	2.80e-08	3.82e-09	u	273	0	0	748.0
This study	unknown	Z81.1	Z81	Z81.1a	Z81.1a:LP-DIR-T	hargrave 2016-01-28 14:02:03	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	4.1	027.2		g	-43.6	1.47e-05	14	1	6.85e-09	2.75e-08	4.51e-09	u	273	0	0	773.0
This study	unknown	Z81.1	Z81	Z81.1a	Z81.1a:LP-DIR-T	hargrave 2016-02-05 12:40:14	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.2	027.3		g	-43.6	1.47e-05	15	1	5.51e-09	1.55e-08	5.35e-09	u	273	0	0	788.0
This study	unknown	Z81.1	Z81	Z81.1a	Z81.1a:LP-DIR-T	hargrave 2016-02-12 15:59:24	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.8	028.0		g	-43.7	1.47e-05	16	1	6.93e-09	1.25e-08	5.99e-09	u	273	0	0	803.0
This study	unknown	Z81.1	Z81	Z81.1a	Z81.1a:LP-DIR-T	hargrave 2016-02-25 13:03:27	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	13.0	046.5		g	-62.8	6.15e-05	17	1	2.87e-07	4.18e-07	1.25e-06	u	273	0	0	818.0
This study	unknown	Z81.1	Z81	Z81.1a	Z81.1a:LP-DIR-T	hargrave 2016-02-25 14:46:47	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.4	027.0		g	-43.4	1.44e-05	18	1	4.09e-09	9.12e-09	5.47e-09	u	273	0	0	818.0
This study	unknown	Z81.1	Z81	Z81.1a	Z81.1a:LP-DIR-T	hargrave 2016-02-28 12:08:30	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.8	026.4		g	-43.5	1.43e-05	19	1	6.03e-09	4.59e-09	4.90e-09	u	273	0	0	823.0
This study	unknown	Z81.1	Z81	Z81.1a	Z81.1a:LP-DIR-T	hargrave 2016-02-28 13:32:38	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.9	026.6		g	-43.4	1.43e-05	20	1	6.14e-09	5.41e-09	5.45e-09	u	273	0	0	823.0
This study	unknown	Z81.1	Z81	Z81.1a	Z81.1a:LP-DIR-T	hargrave 2016-03-06 16:14:57	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.3	027.5		g	-43.5	1.40e-05	21	1	6.72e-09	7.73e-09	5.12e-09	u	273	0	0	828.0
This study	unknown	Z81.1	Z81	Z81.1a	Z81.1a:LP-DIR-T	hargrave 2016-03-13 13:35:35	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	4.3	025.5		g	-43.6	1.39e-05	22	1	1.81e-08	2.07e-08	4.84e-09	u	273	0	0	833.0
This study	unknown	Z81.1	Z81	Z81.1a	Z81.1a:LP-DIR-T	hargrave 2016-03-17 11:19:33	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	3.0	025.0		g	-43.2	1.38e-05	23	1	6.08e-09	1.87e-08	4.02e-09	u	273	0	0	838.0
This study	unknown	Z81.1	Z81	Z81.1a	Z81.1a:LP-DIR-T	hargrave 2016-03-25 09:05:40	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.5	025.4		g	-43.4	1.37e-05	24	1	3.41e-09	9.81e-09	5.05e-09	u	273	0	0	843.0
