tab 	magic_measurements
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_temp
This study	unknown	Z87.1	Z87	Z87.1a	Z87.1a:LP-DIR-T	hargrave 2015-09-30 17:15:27	LT-NO:LP-DIR-T	pmagpy-3.4.0	1.2	001.8		g	-71.9	1.86e-06	1	1	5.30e-10	8.53e-10	1.54e-10	u	273	0	0	273
This study	unknown	Z87.1	Z87	Z87.1a	Z87.1a:LP-DIR-T	hargrave 2015-10-08 14:08:02	LT-LT-Z:LP-DIR-T	pmagpy-3.4.0	1.1	001.1		g	-72.5	1.87e-06	2	1	8.94e-10	4.57e-10	2.05e-10	u	273	0	0	77
This study	unknown	Z87.1	Z87	Z87.1a	Z87.1a:LP-DIR-T	hargrave 2015-10-21 14:34:21	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	3.2	003.3		g	-72.3	1.87e-06	3	1	1.44e-09	2.32e-09	3.97e-10	u	273	0	0	348.0
This study	unknown	Z87.1	Z87	Z87.1a	Z87.1a:LP-DIR-T	hargrave 2015-10-28 17:37:24	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.7	001.1		g	-72.6	1.91e-06	4	1	1.41e-09	4.14e-10	3.33e-10	u	273	0	0	373.0
This study	unknown	Z87.1	Z87	Z87.1a	Z87.1a:LP-DIR-T	hargrave 2015-11-04 15:22:50	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.4	005.8		g	-73.2	1.95e-06	5	1	8.74e-10	7.54e-10	5.24e-10	u	273	0	0	423.0
This study	unknown	Z87.1	Z87	Z87.1a	Z87.1a:LP-DIR-T	hargrave 2015-11-12 14:31:40	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.8	005.3		g	-73.5	1.97e-06	6	1	3.90e-10	6.05e-10	2.49e-10	u	273	0	0	473.0
This study	unknown	Z87.1	Z87	Z87.1a	Z87.1a:LP-DIR-T	hargrave 2015-12-16 12:22:17	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.0	004.9		g	-73.8	1.93e-06	7	1	5.38e-10	7.86e-10	5.05e-10	u	273	0	0	523.0
This study	unknown	Z87.1	Z87	Z87.1a	Z87.1a:LP-DIR-T	hargrave 2015-12-20 10:28:53	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.3	004.8		g	-73.8	1.90e-06	8	1	5.31e-10	9.67e-10	3.97e-10	u	273	0	0	573.0
This study	unknown	Z87.1	Z87	Z87.1a	Z87.1a:LP-DIR-T	hargrave 2016-01-04 13:10:02	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	3.5	016.4		g	-74.1	1.86e-06	9	1	9.50e-10	2.84e-09	4.18e-10	u	273	0	0	623.0
This study	unknown	Z87.1	Z87	Z87.1a	Z87.1a:LP-DIR-T	hargrave 2016-01-06 14:16:19	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.0	002.8		g	-74.2	1.79e-06	10	1	6.10e-10	6.11e-10	2.78e-10	u	273	0	0	673.0
This study	unknown	Z87.1	Z87	Z87.1a	Z87.1a:LP-DIR-T	hargrave 2016-01-08 20:30:28	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.6	016.0		g	-74.1	1.76e-06	11	1	5.03e-10	1.24e-09	3.99e-10	u	273	0	0	698.0
This study	unknown	Z87.1	Z87	Z87.1a	Z87.1a:LP-DIR-T	hargrave 2016-01-14 11:03:21	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.9	010.4		g	-74.2	1.71e-06	12	1	4.18e-10	1.44e-09	3.75e-10	u	273	0	0	723.0
This study	unknown	Z87.1	Z87	Z87.1a	Z87.1a:LP-DIR-T	hargrave 2016-01-21 14:48:05	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.8	003.7		g	-74.1	1.65e-06	13	1	4.47e-10	4.86e-10	3.13e-10	u	273	0	0	748.0
This study	unknown	Z87.1	Z87	Z87.1a	Z87.1a:LP-DIR-T	hargrave 2016-01-29 14:13:13	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.7	005.2		g	-73.9	1.57e-06	14	1	8.52e-10	9.55e-10	4.08e-10	u	273	0	0	773.0
This study	unknown	Z87.1	Z87	Z87.1a	Z87.1a:LP-DIR-T	hargrave 2016-02-10 12:21:25	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.3	006.0		g	-74.7	1.54e-06	15	1	6.05e-10	7.12e-10	2.99e-10	u	273	0	0	788.0
This study	unknown	Z87.1	Z87	Z87.1a	Z87.1a:LP-DIR-T	hargrave 2016-02-15 11:22:12	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.5	005.4		g	-74.3	1.49e-06	16	1	7.83e-10	6.99e-10	3.09e-10	u	273	0	0	803.0
This study	unknown	Z87.1	Z87	Z87.1a	Z87.1a:LP-DIR-T	hargrave 2016-02-25 13:28:10	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.2	005.4		g	-73.7	1.15e-06	17	1	1.33e-09	7.33e-10	7.38e-09	u	273	0	0	818.0
This study	unknown	Z87.1	Z87	Z87.1a	Z87.1a:LP-DIR-T	hargrave 2016-02-28 12:34:14	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.5	003.2		g	-75.4	1.39e-06	18	1	5.97e-10	6.97e-10	2.79e-10	u	273	0	0	823.0
This study	unknown	Z87.1	Z87	Z87.1a	Z87.1a:LP-DIR-T	hargrave 2016-02-28 13:59:37	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.5	003.2		g	-75.4	1.39e-06	19	1	5.94e-10	7.05e-10	2.82e-10	u	273	0	0	823.0
This study	unknown	Z87.1	Z87	Z87.1a	Z87.1a:LP-DIR-T	hargrave 2016-03-06 16:40:53	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.5	004.6		g	-74.6	1.33e-06	20	1	6.23e-10	6.44e-10	2.51e-10	u	273	0	0	828.0
This study	unknown	Z87.1	Z87	Z87.1a	Z87.1a:LP-DIR-T	hargrave 2016-03-13 14:02:36	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.2	358.5		g	-75.1	1.29e-06	21	1	1.01e-09	8.34e-10	3.34e-10	u	273	0	0	833.0
This study	unknown	Z87.1	Z87	Z87.1a	Z87.1a:LP-DIR-T	hargrave 2016-03-17 11:45:45	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.5	003.9		g	-75.0	1.27e-06	22	1	6.45e-10	5.94e-10	3.43e-10	u	273	0	0	838.0
This study	unknown	Z87.1	Z87	Z87.1a	Z87.1a:LP-DIR-T	hargrave 2016-03-25 09:34:30	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.5	001.5		g	-75.0	1.23e-06	23	1	5.68e-10	5.95e-10	2.37e-10	u	273	0	0	843.0
This study	unknown	Z87.1	Z87	Z87.1a	Z87.1a:LP-DIR-T	hargrave 2016-04-06 14:34:47	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.3	004.4		g	-75.6	1.22e-06	24	1	7.10e-10	1.05e-09	3.83e-10	u	273	0	0	846.0
This study	unknown	Z87.1	Z87	Z87.1a	Z87.1a:LP-DIR-T	hargrave 2016-04-10 18:31:23	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.8	008.1		g	-75.2	1.24e-06	25	1	8.13e-10	1.40e-09	4.02e-10	u	273	0	0	849.0
This study	unknown	Z87.1	Z87	Z87.1a	Z87.1a:LP-DIR-T	hargrave 2016-04-18 19:24:23	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.2	003.6		g	-75.9	1.20e-06	26	1	4.72e-10	4.63e-10	2.63e-10	u	273	0	0	852.0
This study	unknown	Z87.1	Z87	Z87.1a	Z87.1a:LP-DIR-T	hargrave 2016-04-24 14:24:57	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.9	358.9		g	-74.8	1.20e-06	27	1	7.13e-10	7.53e-10	2.22e-10	u	273	0	0	855.0
This study	unknown	Z87.1	Z87	Z87.1a	Z87.1a:LP-DIR-T	hargrave 2016-04-24 16:00:38	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.8	358.0		g	-74.7	1.20e-06	28	1	7.42e-10	7.06e-10	2.35e-10	u	273	0	0	855.0
This study	unknown	Z87.1	Z87	Z87.1a	Z87.1a:LP-DIR-T	hargrave 2016-05-08 14:38:51	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	3.3	007.9		g	-76.5	1.20e-06	29	1	6.65e-10	1.71e-09	2.69e-10	u	273	0	0	863.0
This study	unknown	Z87.1	Z87	Z87.1a	Z87.1a:LP-DIR-T	hargrave 2016-05-12 09:44:16	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.7	359.8		g	-77.0	1.14e-06	30	1	5.88e-10	6.39e-10	3.45e-10	u	273	0	0	883.0
This study	unknown	Z87.1	Z87	Z87.1a	Z87.1a:LP-DIR-T	hargrave 2016-05-20 13:52:05	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.7	357.8		g	-78.7	9.88e-07	31	1	5.62e-10	5.28e-10	3.59e-10	u	273	0	0	903.0
This study	unknown	Z87.1	Z87	Z87.1a	Z87.1a:LP-DIR-T	hargrave 2016-05-23 11:55:47	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.9	010.3		g	-75.6	8.09e-07	32	1	4.13e-10	5.49e-10	3.66e-10	u	273	0	0	923.0
This study	unknown	Z87.1	Z87	Z87.1a	Z87.1a:LP-DIR-T	hargrave 2016-05-24 21:18:31	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.4	005.7		g	-77.6	7.18e-07	33	1	4.12e-10	6.45e-10	3.87e-10	u	273	0	0	933.0
This study	unknown	Z87.1	Z87	Z87.1a	Z87.1a:LP-DIR-T	hargrave 2016-05-29 12:28:51	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.2	006.8		g	-81.9	5.70e-07	34	1	4.31e-10	3.94e-10	2.28e-10	u	273	0	0	943.0
This study	unknown	Z87.1	Z87	Z87.1a	Z87.1a:LP-DIR-T	hargrave 2016-06-03 11:52:39	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.9	004.8		g	-82.0	3.47e-07	35	1	2.47e-10	2.04e-10	3.18e-10	u	273	0	0	948.0
This study	unknown	Z87.1	Z87	Z87.1a	Z87.1a:LP-DIR-T	hargrave 2016-06-08 13:30:26	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	3.0	068.2		g	-72.1	2.11e-07	36	1	1.77e-10	1.75e-10	3.14e-10	u	273	0	0	953.0
