tab 	magic_measurements
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_temp
This study	unknown	Z71.1	Z71	Z71.1a	Z71.1a:LP-DIR-T	hargrave 2015-09-30 14:12:30	LT-NO:LP-DIR-T	pmagpy-3.4.0	1.1	341.1		g	-53.6	7.12e-07	1	1	1.73e-10	3.42e-10	1.98e-10	u	273	0	0	273
This study	unknown	Z71.1	Z71	Z71.1a	Z71.1a:LP-DIR-T	hargrave 2015-10-08 15:26:50	LT-LT-Z:LP-DIR-T	pmagpy-3.4.0	3.9	341.5		g	-54.4	7.09e-07	2	1	3.35e-10	1.22e-09	7.29e-11	u	273	0	0	77
This study	unknown	Z71.1	Z71	Z71.1a	Z71.1a:LP-DIR-T	hargrave 2015-10-15 17:34:46	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.5	342.1		g	-53.7	7.12e-07	3	1	3.65e-10	7.26e-10	3.35e-10	u	273	0	0	348.0
This study	unknown	Z71.1	Z71	Z71.1a	Z71.1a:LP-DIR-T	hargrave 2015-10-28 12:20:24	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.2	342.4		g	-54.8	7.51e-07	4	1	5.11e-10	5.07e-10	2.76e-10	u	273	0	0	373.0
This study	unknown	Z71.1	Z71	Z71.1a	Z71.1a:LP-DIR-T	hargrave 2015-11-05 15:02:24	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.3	349.7		g	-57.4	8.20e-07	5	1	2.53e-10	3.08e-10	3.95e-10	u	273	0	0	423.0
This study	unknown	Z71.1	Z71	Z71.1a	Z71.1a:LP-DIR-T	hargrave 2015-11-18 16:09:05	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.9	353.1		g	-57.5	8.31e-07	6	1	2.31e-10	2.64e-10	1.30e-10	u	273	0	0	473.0
This study	unknown	Z71.1	Z71	Z71.1a	Z71.1a:LP-DIR-T	hargrave 2015-12-10 13:37:41	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.3	355.1		g	-58.3	8.43e-07	7	1	2.04e-10	4.67e-10	1.14e-10	u	273	0	0	523.0
This study	unknown	Z71.1	Z71	Z71.1a	Z71.1a:LP-DIR-T	hargrave 2015-12-17 16:33:56	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.1	356.9		g	-57.7	8.08e-07	8	1	2.17e-10	3.67e-10	1.42e-10	u	273	0	0	573.0
This study	unknown	Z71.1	Z71	Z71.1a	Z71.1a:LP-DIR-T	hargrave 2015-12-20 11:17:06	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.9	359.1		g	-58.7	7.70e-07	9	1	2.00e-10	1.00e-09	1.66e-10	u	273	0	0	623.0
This study	unknown	Z71.1	Z71	Z71.1a	Z71.1a:LP-DIR-T	hargrave 2016-01-08 19:36:46	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	3.2	356.3		g	-54.9	5.48e-07	10	1	1.57e-10	8.02e-10	1.95e-10	u	273	0	0	673.0
This study	unknown	Z71.1	Z71	Z71.1a	Z71.1a:LP-DIR-T	hargrave 2016-01-12 12:50:52	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	3.0	355.3		g	-54.2	5.06e-07	11	1	1.58e-10	6.93e-10	1.80e-10	u	273	0	0	698.0
This study	unknown	Z71.1	Z71	Z71.1a	Z71.1a:LP-DIR-T	hargrave 2016-01-14 09:56:40	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.7	353.1		g	-53.6	4.60e-07	12	1	1.22e-10	5.53e-10	5.35e-11	u	273	0	0	723.0
This study	unknown	Z71.1	Z71	Z71.1a	Z71.1a:LP-DIR-T	hargrave 2016-01-27 13:05:46	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.8	352.5		g	-51.7	3.98e-07	13	1	2.07e-10	2.68e-10	9.83e-11	u	273	0	0	748.0
This study	unknown	Z71.1	Z71	Z71.1a	Z71.1a:LP-DIR-T	hargrave 2016-01-29 13:19:22	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.7	352.8		g	-49.6	3.47e-07	14	1	1.81e-10	2.22e-10	5.28e-11	u	273	0	0	773.0
This study	unknown	Z71.1	Z71	Z71.1a	Z71.1a:LP-DIR-T	hargrave 2016-02-04 15:16:31	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.8	351.0		g	-48.6	3.11e-07	15	1	1.27e-10	2.14e-10	8.99e-11	u	273	0	0	788.0
This study	unknown	Z71.1	Z71	Z71.1a	Z71.1a:LP-DIR-T	hargrave 2016-02-12 14:35:21	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.8	351.2		g	-47.7	2.90e-07	16	1	1.51e-10	1.68e-10	1.07e-10	u	273	0	0	803.0
This study	unknown	Z71.1	Z71	Z71.1a	Z71.1a:LP-DIR-T	hargrave 2016-02-17 14:20:12	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.6	352.5		g	-49.0	3.91e-07	17	1	2.06e-09	3.78e-10	2.61e-09	u	273	0	0	818.0
This study	unknown	Z71.1	Z71	Z71.1a	Z71.1a:LP-DIR-T	hargrave 2016-03-02 11:08:33	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.9	354.1		g	-51.0	2.71e-07	18	1	1.46e-10	1.96e-10	6.09e-11	u	273	0	0	823.0
This study	unknown	Z71.1	Z71	Z71.1a	Z71.1a:LP-DIR-T	hargrave 2016-03-09 13:05:02	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.2	351.5		g	-49.6	2.66e-07	19	1	1.42e-10	2.16e-10	8.27e-11	u	273	0	0	828.0
This study	unknown	Z71.1	Z71	Z71.1a	Z71.1a:LP-DIR-T	hargrave 2016-03-16 11:07:55	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.7	352.4		g	-53.3	2.64e-07	20	1	1.32e-10	1.51e-10	6.35e-11	u	273	0	0	833.0
