tab 	magic_measurements
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_temp
This study	unknown	Z95.1	Z95	Z95.1a	Z95.1a:LP-DIR-T	hargrave 2015-09-30 19:11:52	LT-NO:LP-DIR-T	pmagpy-3.4.0	1.1	026.5		g	-54.6	2.24e-05	1	1	7.91e-09	8.13e-09	1.97e-09	u	273	0	0	273
This study	unknown	Z95.1	Z95	Z95.1a	Z95.1a:LP-DIR-T	hargrave 2015-10-14 17:48:39	LT-LT-Z:LP-DIR-T	pmagpy-3.4.0	4.6	024.9		g	-54.9	2.26e-05	2	1	3.06e-08	3.58e-08	8.73e-09	u	273	0	0	77
This study	unknown	Z95.1	Z95	Z95.1a	Z95.1a:LP-DIR-T	hargrave 2015-10-22 14:28:51	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.7	023.0		g	-55.1	2.28e-05	3	1	2.42e-08	9.96e-09	1.07e-08	u	273	0	0	348.0
This study	unknown	Z95.1	Z95	Z95.1a	Z95.1a:LP-DIR-T	hargrave 2015-11-04 12:25:35	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.8	026.4		g	-54.5	2.28e-05	4	1	5.98e-09	3.67e-09	4.68e-09	u	273	0	0	373.0
This study	unknown	Z95.1	Z95	Z95.1a	Z95.1a:LP-DIR-T	hargrave 2015-11-11 14:24:21	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.7	025.7		g	-54.7	2.28e-05	5	1	4.02e-09	6.39e-09	2.87e-09	u	273	0	0	423.0
This study	unknown	Z95.1	Z95	Z95.1a	Z95.1a:LP-DIR-T	hargrave 2015-11-23 18:37:40	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.6	025.3		g	-54.5	2.30e-05	6	1	5.38e-09	4.80e-09	1.30e-09	u	273	0	0	473.0
This study	unknown	Z95.1	Z95	Z95.1a	Z95.1a:LP-DIR-T	hargrave 2015-12-10 18:26:50	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.1	024.0		g	-54.6	2.30e-05	7	1	4.62e-09	1.04e-08	1.66e-09	u	273	0	0	523.0
This study	unknown	Z95.1	Z95	Z95.1a	Z95.1a:LP-DIR-T	hargrave 2015-12-17 14:20:36	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.9	027.7		g	-54.2	2.29e-05	8	1	7.68e-09	5.99e-09	2.82e-09	u	273	0	0	573.0
This study	unknown	Z95.1	Z95	Z95.1a	Z95.1a:LP-DIR-T	hargrave 2016-01-08 12:11:27	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	3.1	028.2		g	-54.6	2.28e-05	9	1	1.49e-08	2.93e-08	2.77e-09	u	273	0	0	623.0
This study	unknown	Z95.1	Z95	Z95.1a	Z95.1a:LP-DIR-T	hargrave 2016-01-13 13:07:13	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	3.5	027.1		g	-54.1	2.28e-05	10	1	1.33e-08	3.42e-08	4.09e-09	u	273	0	0	673.0
This study	unknown	Z95.1	Z95	Z95.1a	Z95.1a:LP-DIR-T	hargrave 2016-01-21 12:20:14	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.7	028.1		g	-54.5	2.28e-05	11	1	8.97e-09	1.59e-08	2.47e-09	u	273	0	0	698.0
This study	unknown	Z95.1	Z95	Z95.1a	Z95.1a:LP-DIR-T	hargrave 2016-01-28 13:02:57	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.1	026.5		g	-54.4	2.28e-05	12	1	7.45e-09	8.49e-09	3.75e-09	u	273	0	0	723.0
This study	unknown	Z95.1	Z95	Z95.1a	Z95.1a:LP-DIR-T	hargrave 2016-02-04 13:01:04	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.3	027.5		g	-54.1	2.27e-05	13	1	9.98e-09	9.04e-09	4.44e-09	u	273	0	0	748.0
