tab 	magic_measurements
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_temp
This study	unknown	Z89.1	Z89	Z89.1a	Z89.1a:LP-DIR-T	hargrave 2015-09-30 17:44:35	LT-NO:LP-DIR-T	pmagpy-3.4.0	2.1	357.9		g	-73.4	1.27e-05	1	1	3.76e-09	1.14e-08	1.99e-09	u	273	0	0	273
This study	unknown	Z89.1	Z89	Z89.1a	Z89.1a:LP-DIR-T	hargrave 2015-10-08 14:36:36	LT-LT-Z:LP-DIR-T	pmagpy-3.4.0	2.8	358.8		g	-73.1	1.27e-05	2	1	6.64e-09	1.49e-08	2.49e-09	u	273	0	0	77
This study	unknown	Z89.1	Z89	Z89.1a	Z89.1a:LP-DIR-T	hargrave 2015-10-21 17:55:40	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.4	355.2		g	-73.8	1.27e-05	3	1	1.21e-08	7.18e-09	3.29e-09	u	273	0	0	348.0
This study	unknown	Z89.1	Z89	Z89.1a	Z89.1a:LP-DIR-T	hargrave 2015-10-28 18:04:59	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	73.0	003.9		g	-75.4	6.38e-06	4	1	4.52e-08	3.27e-09	1.74e-07	u	273	0	0	373.0
This study	unknown	Z89.1	Z89	Z89.1a	Z89.1a:LP-DIR-T	hargrave 2015-10-29 09:16:27	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	3.3	351.6		g	-73.6	1.28e-05	5	1	1.08e-08	1.61e-08	3.18e-09	u	273	0	0	373.0
This study	unknown	Z89.1	Z89	Z89.1a	Z89.1a:LP-DIR-T	hargrave 2015-11-11 12:59:58	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.9	358.5		g	-73.9	1.28e-05	6	1	2.28e-09	1.12e-08	4.76e-10	u	273	0	0	423.0
This study	unknown	Z89.1	Z89	Z89.1a	Z89.1a:LP-DIR-T	hargrave 2015-11-18 13:58:37	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.7	357.9		g	-73.9	1.28e-05	7	1	2.08e-09	9.82e-09	8.53e-10	u	273	0	0	473.0
This study	unknown	Z89.1	Z89	Z89.1a	Z89.1a:LP-DIR-T	hargrave 2015-12-10 14:49:21	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.6	357.8		g	-73.5	1.28e-05	8	1	3.25e-09	8.94e-09	1.27e-09	u	273	0	0	523.0
This study	unknown	Z89.1	Z89	Z89.1a	Z89.1a:LP-DIR-T	hargrave 2015-12-17 17:34:36	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.1	359.1		g	-74.0	1.28e-05	9	1	3.35e-09	1.16e-08	1.02e-09	u	273	0	0	573.0
This study	unknown	Z89.1	Z89	Z89.1a	Z89.1a:LP-DIR-T	hargrave 2016-01-08 10:48:18	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.2	356.1		g	-73.8	1.28e-05	10	1	4.74e-09	1.23e-08	2.89e-09	u	273	0	0	623.0
This study	unknown	Z89.1	Z89	Z89.1a	Z89.1a:LP-DIR-T	hargrave 2016-01-12 13:44:57	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.1	358.0		g	-74.1	1.27e-05	11	1	4.18e-09	1.15e-08	1.72e-09	u	273	0	0	673.0
This study	unknown	Z89.1	Z89	Z89.1a	Z89.1a:LP-DIR-T	hargrave 2016-01-21 10:58:50	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.2	356.9		g	-74.1	1.27e-05	12	1	3.15e-09	1.27e-08	1.93e-09	u	273	0	0	698.0
