tab 	magic_measurements
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_temp
This study	unknown	Z73.1	Z73	Z73.1a	Z73.1a:LP-DIR-T	hargrave 2015-09-30 14:39:13	LT-NO:LP-DIR-T	pmagpy-3.4.0	2.4	045.7		g	-25.6	3.58e-07	1	1	1.48e-10	4.29e-10	2.96e-10	u	273	0	0	273
This study	unknown	Z73.1	Z73	Z73.1a	Z73.1a:LP-DIR-T	hargrave 2015-10-08 15:55:59	LT-LT-Z:LP-DIR-T	pmagpy-3.4.0	4.2	044.8		g	-27.2	3.56e-07	2	1	2.73e-10	7.05e-10	2.78e-10	u	273	0	0	77
This study	unknown	Z73.1	Z73	Z73.1a	Z73.1a:LP-DIR-T	hargrave 2015-10-15 17:48:31	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.6	040.7		g	-31.8	3.86e-07	3	1	2.05e-10	4.17e-10	2.84e-10	u	273	0	0	348.0
This study	unknown	Z73.1	Z73	Z73.1a	Z73.1a:LP-DIR-T	hargrave 2015-10-28 12:32:41	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.8	034.7		g	-39.0	4.66e-07	4	1	2.24e-10	2.77e-10	3.32e-10	u	273	0	0	373.0
This study	unknown	Z73.1	Z73	Z73.1a	Z73.1a:LP-DIR-T	hargrave 2015-11-05 15:15:24	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.8	026.4		g	-44.0	5.69e-07	5	1	3.90e-10	2.45e-10	2.28e-10	u	273	0	0	423.0
This study	unknown	Z73.1	Z73	Z73.1a	Z73.1a:LP-DIR-T	hargrave 2015-11-18 16:25:29	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.2	024.1		g	-43.8	5.54e-07	6	1	3.28e-10	5.85e-10	2.20e-10	u	273	0	0	473.0
This study	unknown	Z73.1	Z73	Z73.1a	Z73.1a:LP-DIR-T	hargrave 2015-12-10 13:50:44	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.2	020.6		g	-45.1	5.35e-07	7	1	2.05e-10	5.58e-10	1.45e-10	u	273	0	0	523.0
This study	unknown	Z73.1	Z73	Z73.1a	Z73.1a:LP-DIR-T	hargrave 2015-12-17 16:50:41	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.2	021.3		g	-43.5	4.93e-07	8	1	2.67e-10	5.47e-10	1.90e-10	u	273	0	0	573.0
This study	unknown	Z73.1	Z73	Z73.1a	Z73.1a:LP-DIR-T	hargrave 2015-12-20 11:00:59	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	3.9	022.9		g	-43.7	4.43e-07	9	1	1.51e-10	8.23e-10	1.49e-10	u	273	0	0	623.0
This study	unknown	Z73.1	Z73	Z73.1a	Z73.1a:LP-DIR-T	hargrave 2016-01-08 19:50:38	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.4	022.2		g	-32.6	2.71e-07	10	1	1.20e-10	3.38e-10	1.90e-10	u	273	0	0	673.0
This study	unknown	Z73.1	Z73	Z73.1a	Z73.1a:LP-DIR-T	hargrave 2016-01-12 13:04:49	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.9	021.2		g	-26.0	2.24e-07	11	1	2.01e-10	2.40e-10	1.78e-10	u	273	0	0	698.0
This study	unknown	Z73.1	Z73	Z73.1a	Z73.1a:LP-DIR-T	hargrave 2016-01-14 10:10:34	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.0	023.2		g	-19.5	1.64e-07	12	1	1.58e-10	1.56e-10	1.59e-10	u	273	0	0	723.0
This study	unknown	Z73.1	Z73	Z73.1a	Z73.1a:LP-DIR-T	hargrave 2016-01-27 13:17:51	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	7.3	034.0		g	34.1	1.09e-07	13	1	2.27e-10	1.91e-10	2.23e-10	u	273	0	0	748.0
This study	unknown	Z73.1	Z73	Z73.1a	Z73.1a:LP-DIR-T	hargrave 2016-01-29 13:33:11	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	9.6	033.5		g	25.4	1.25e-07	14	1	3.39e-10	3.09e-10	3.09e-10	u	273	0	0	773.0
This study	unknown	Z73.1	Z73	Z73.1a	Z73.1a:LP-DIR-T	hargrave 2016-01-29 15:14:07	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.5	027.2		g	20.9	1.29e-07	15	1	7.49e-11	7.76e-11	1.12e-10	u	273	0	0	773.0
This study	unknown	Z73.1	Z73	Z73.1a	Z73.1a:LP-DIR-T	hargrave 2016-02-10 12:34:36	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	4.9	018.6		g	66.5	1.81e-07	16	1	1.86e-10	3.12e-10	3.16e-10	u	273	0	0	788.0
This study	unknown	Z73.1	Z73	Z73.1a	Z73.1a:LP-DIR-T	hargrave 2016-02-12 14:50:26	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	18.1	253.4		g	78.4	1.50e-07	17	1	1.90e-10	1.14e-09	7.03e-10	u	273	0	0	803.0
This study	unknown	Z73.1	Z73	Z73.1a	Z73.1a:LP-DIR-T	hargrave 2016-02-14 11:20:56	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	4.8	281.3		g	40.4	1.35e-07	18	1	1.35e-10	1.59e-10	2.33e-10	u	273	0	0	803.0
This study	unknown	Z73.1	Z73	Z73.1a	Z73.1a:LP-DIR-T	hargrave 2016-02-17 14:35:13	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	14.2	064.3		g	55.4	2.42e-07	19	1	7.83e-10	1.59e-09	2.82e-10	u	273	0	0	818.0
This study	unknown	Z73.1	Z73	Z73.1a	Z73.1a:LP-DIR-T	hargrave 2016-02-17 15:25:29	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	74.5	034.4		g	02.4	6.95e-08	20	1	7.29e-10	3.95e-09	5.76e-09	u	273	0	0	818.0
This study	unknown	Z73.1	Z73	Z73.1a	Z73.1a:LP-DIR-T	hargrave 2016-02-17 15:43:34	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.6	051.7		g	56.8	2.65e-07	21	1	9.27e-11	1.92e-10	5.65e-11	u	273	0	0	818.0
This study	unknown	Z73.1	Z73	Z73.1a	Z73.1a:LP-DIR-T	hargrave 2016-03-02 11:20:49	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	13.7	116.6		g	77.2	1.83e-07	22	1	6.63e-10	9.16e-10	3.83e-10	u	273	0	0	823.0
This study	unknown	Z73.1	Z73	Z73.1a	Z73.1a:LP-DIR-T	hargrave 2016-03-02 12:55:33	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	77.4	263.0		g	23.9	3.86e-08	23	1	1.04e-09	1.10e-09	4.92e-09	u	273	0	0	823.0
This study	unknown	Z73.1	Z73	Z73.1a	Z73.1a:LP-DIR-T	hargrave 2016-03-02 14:45:15	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	5.2	062.4		g	60.0	2.03e-07	24	1	1.17e-10	6.75e-10	3.71e-10	u	273	0	0	823.0
This study	unknown	Z73.1	Z73	Z73.1a	Z73.1a:LP-DIR-T	hargrave 2016-03-09 13:19:34	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	9.9	306.2		g	65.9	2.88e-07	25	1	5.87e-10	9.24e-10	7.88e-10	u	273	0	0	828.0
This study	unknown	Z73.1	Z73	Z73.1a	Z73.1a:LP-DIR-T	hargrave 2016-03-09 13:52:50	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	3.2	308.4		g	59.9	2.78e-07	26	1	1.63e-10	3.45e-10	1.41e-10	u	273	0	0	828.0
